seq,firstname,lastname,age,street,city,state,zip,dollar,pick,date
1,Theresa,Welch,58,Nulmuh Place,Jovtore,TX,02916,$7991.70,WHITE,03/21/1906
2,Rose,Ball,61,Kono Park,Renzahep,TN,52100,$2226.51,GREEN,12/07/2003
3,Robert,Hines,50,Tuptu Manor,Kibcocac,DC,11864,$5407.84,WHITE,06/04/1930
4,Nora,Garrett,43,Ewmit Road,Ehluhec,MT,91108,$2788.79,GREEN,07/24/2054
5,Eva,Clark,42,Kapen Park,Genuwiv,UT,60085,$5435.02,GREEN,06/21/1957
6,Minerva,Curry,45,Wuvsij Court,Azozuuka,VA,79374,$9334.45,RED,03/29/1961
7,Martha,Ruiz,43,Motke Grove,Wesuun,MI,21148,$1411.43,YELLOW,03/05/2060
8,Marvin,Bass,36,Tuzbi Plaza,Tatminkop,RI,37302,$7491.30,YELLOW,12/06/2019
9,Peter,Valdez,54,Wani Heights,Jonemug,WI,41608,$8883.09,GREEN,06/23/2029
10,Fred,Cummings,46,Ivara Plaza,Fituli,NV,39712,$6199.55,WHITE,01/02/2012
11,Eva,Marsh,58,Ruhca Key,Hoihabe,AL,61911,$6336.46,YELLOW,03/03/1927
12,Cecelia,Morton,57,Jigu Lane,Jucboftis,CT,55081,$2689.56,WHITE,09/08/1964
13,Mike,McKenzie,47,Hopme Key,Rubcarte,CO,16369,$125.52,YELLOW,05/07/1916
14,Michael,Cain,37,Ratnum Pike,Marahe,NH,46796,$8289.34,GREEN,05/11/2056
15,Nellie,Murray,43,Boppuz Road,Lifebna,WA,46483,$7487.84,YELLOW,03/07/1965
16,Isabelle,Howard,39,Cemze Heights,Terene,IA,85712,$216.41,GREEN,02/27/1981
17,Lou,Reeves,37,Muki Square,Doorhaf,DE,66798,$927.10,WHITE,08/12/2004
18,Birdie,Mendez,47,Azka Point,Pikguhah,AR,79955,$1271.07,BLUE,08/24/2035
19,Andre,Owens,26,Cegor Place,Ivcivtar,MN,31296,$8107.93,GREEN,01/27/1920
20,Roger,Casey,24,Lukif Junction,Codufaiga,UT,25428,$9496.12,GREEN,09/20/2065
21,Bernard,Price,33,Codu Plaza,Dirjiluh,OK,81270,$3545.95,RED,07/23/2053
22,Owen,Watts,33,Lohje Point,Boalume,UT,41461,$1883.93,GREEN,09/03/2070
23,Genevieve,Yates,52,Soah Ridge,Gabgipzem,CO,04908,$7279.16,YELLOW,11/05/2031
24,Jerome,Carter,38,Rofzu Parkway,Errara,NJ,48291,$9879.52,WHITE,06/05/1909
25,Edna,Davis,57,Jetu Extension,Memsidcu,SD,87254,$7305.51,YELLOW,11/28/2068
26,Evelyn,Adkins,53,Ludda Junction,Jocumlek,TN,96012,$6594.25,GREEN,11/30/2006
27,Noah,Jackson,31,Fudjug Manor,Hetemi,CA,92794,$3669.85,GREEN,05/17/1928
28,Stella,Henderson,35,Nesu Parkway,Ufeuhza,HI,97984,$9928.92,RED,02/01/1985
29,Myrtle,Gibson,18,Ribe Lane,Tikagki,OH,94534,$9834.66,BLUE,02/10/1991
30,Lottie,Greer,25,Zugpi Grove,Digagu,TX,39137,$620.58,YELLOW,03/31/1946
31,Justin,Marshall,43,Usolo River,Vepumozi,NV,05931,$5806.07,YELLOW,08/15/2015
32,Herman,Cortez,27,Hefa Drive,Juusezu,OK,80579,$8737.68,YELLOW,06/24/1981
33,Theodore,Newton,41,Fortu Boulevard,Gachidiji,SC,49616,$7248.30,GREEN,07/12/1957
34,Lelia,Young,51,Elowu River,Nakulifud,ID,75987,$1966.64,WHITE,02/27/1936
35,Gordon,Burgess,51,Kigva Circle,Warkucu,KY,47996,$6285.00,GREEN,07/14/1961
36,Ollie,Bush,64,Bear Street,Neitema,OH,02556,$4336.40,BLUE,06/17/2050
37,Blanche,Sims,45,Wonat Key,Wiwlibuh,WY,71590,$6662.62,RED,12/11/2002
38,Kyle,Dixon,32,Keba Boulevard,Kenowufo,KY,45366,$567.68,WHITE,11/25/1960
39,Jacob,Romero,55,Hiowa Way,Rewhapu,WA,81767,$8770.09,BLUE,05/23/1920
40,Christian,Herrera,38,Sanuc Glen,Zelejo,CA,34964,$9525.76,BLUE,11/28/1918
41,Theresa,Jacobs,41,Pimu Mill,Tilicuh,MD,08552,$1056.25,RED,10/29/1914
42,Luke,Dixon,51,Roeso Junction,Udkazzef,NV,52626,$1926.60,BLUE,07/15/1945
43,Steven,Harris,38,Musaj Center,Duculu,KS,23266,$5644.47,GREEN,05/24/2031
44,Roy,Morrison,26,Halke Park,Avaikodev,WV,72784,$8996.80,GREEN,08/26/2013
